Timestamp, COUNTER_MEMS, INTERPOLATED_MEMS, Q0, Q1, Q2, Q3, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ
1572913278.4493, 34, 0, 0.439155, -0.527161, -0.446045, -0.574707, 0.985855, 0.042481, 0.048829, -75.666438, -73.871977, 63.703365
1572913278.465, 35, 0, 0.439217, -0.527161, -0.445984, -0.574707, 0.992691, 0.052247, 0.039551, -74.171054, -73.124285, 62.955673
1572913278.4807, 36, 0, 0.439137, -0.527161, -0.445984, -0.574768, 0.985855, 0.042481, 0.048829, -74.320592, -74.171054, 63.852903
1572913278.4962, 37, 0, 0.439131, -0.5271, -0.445984, -0.574829, 0.980484, 0.044434, 0.053712, -75.516899, -72.974746, 63.852903
1572913278.5119, 38, 0, 0.439131, -0.5271, -0.445984, -0.574829, 0.982925, 0.040528, 0.036133, -75.516899, -74.918746, 63.852903
1572913278.5276, 39, 0, 0.439131, -0.5271, -0.445984, -0.574829, 0.980484, 0.044434, 0.053712, -74.171054, -74.619669, 63.703365
1572913278.5433, 40, 0, 0.439131, -0.5271, -0.445984, -0.574829, 0.982925, 0.040528, 0.036133, -73.871977, -74.47013, 62.806134
1572913278.559, 41, 0, 0.439199, -0.527161, -0.445923, -0.574768, 0.982925, 0.05127, 0.039063, -76.115053, -73.871977, 63.404288
1572913278.5745, 42, 0, 0.439199, -0.527161, -0.445923, -0.574768, 0.989761, 0.055177, 0.03711, -76.563668, -73.124285, 62.955673
1572913278.59, 43, 0, 0.439206, -0.527222, -0.445923, -0.574707, 0.982925, 0.05127, 0.039063, -76.115053, -73.871977, 63.404288
1572913278.6056, 44, 0, 0.439195, -0.527283, -0.445862, -0.574707, 0.989761, 0.055177, 0.03711, -76.563668, -73.124285, 62.955673
1572913278.6213, 45, 0, 0.439177, -0.527283, -0.445801, -0.574768, 0.986831, 0.045899, 0.034668, -76.713207, -74.171054, 64.301518
